N0;Komentar;
1;"Kenapa pembayaran manual transfer rekening bank BRI tidak ada lagi. Saya sudah 2 kali pesan barang lewat aplikasi ini baik2 saja tidak ada masalah dan saya biasa bayar lewat transfer manual rekening Bank BRI. Mohon untuk penjelasannya karena saya mau pesan barang lagi, tapi tidak ada lagi pembayaran manual transfer rekening bank BRI. Terima Kasih.";
2;"Luar biasa, situs online paling praktis, canggih, sama sekali tidak ribet. Mudah dan cepat akses serta pengoperasiannya. Saya sangat merekomendasikan Tokopedia untuk Anda. Pokoknya mantap deh! USUL: kalau bisa sistem pembayaran dengan Oneklik BCA juga disediakan oleh Tokopedia. Terima kasih.";
3;"awalnya saya was was blanja online tuh suka lama sampe nya ampe seminggu pernah saya bli barang lewat online.dan saya sudah ikhlasin apapun yg trjdi mungkin bkn rezki saya, stelah seminggu lebih baru sampe tu barang .saya coba pake aplikasi tokopedia ini dan saya coba blanja kmbli ternyata respon cepat dan prosesnya tidak lemot bagi saya tokopedia saya kasih klo boleh saya tambah bintangnya nggk 5 lg karna saya sangat puas dengan playanannya proses cepat barang sesuai pesanan ok dah pokonya ????";
4;"alhamdulillah cukup puas sih untuk sebelomnya dengan aplikasi ini....bayar ini itu casback beneran dapet!!!....tp makin kesini kok gak ada lagi ya? dan poin dari belanja kok gak bisa tukar ke pulsa atau token kan bermanfaat....kayak di greb bisa tukar token listrik poin"" nya";
5;"Mau login dipersulit, harus verifikasi nomer tlp. No tlp udah ga aktif harus foto ktp/buku tabungan, masalahnya gw ga ada ktp/buku tabungan itu. Daftar akun pake Google or yahoo ttp aja harus verifikasi no tlp juga, punya akun fb Gmail ymail ga ada yg bisa buat login";
6;"saya kecewa sekarang sama kamu toped tiap transaksi tidak dapat casback apa kesalahan dan syarat yang kurang dari saya ,,sudah lama nunggu barang datang pas datang saya komfir casback tidak masuk ,,kalau sudah selesai transaksi saya smua dan saya tidak akan gunakan amplikasi ini lagi saya hapus percuma casback tipu";
7;"terkecoh sama cashback yg besar, jangan pernah beli flight di tokopedia. RUMIT SANGAT RUMIT, mau merubah flight rumit , anda akan di teror email setiap detik jika anda tdk segera merubah tiket anda.. lalu anda akan dipersulit. pokokny jgn prnh beli flight di tokped klo gk mw nyesel.";
8;"kenapa habis diperbarui gangguan terus, mau pilih pembayaran selalu gangguan. apakah harus di uninstal aja, 20x transaksi nyaman kini jadi menyakitkan. biar bintang yg berbicara";
9;"terimakasih, atas respon dan kecepatan dalam proses sampai pengiriman, barang diterima tepat waktu dan kondisi bagus...??????";
10;"Jelek banget ga jelas keterangannya ,,sy belanja pake ovo ,,,dan sisa nya pake kredivo ,,tapi ovo sy sudah di potong saldonya ,,tapi keterangan dari kredivo beda akun ...jadi lieur padahal sy cuman satu akun..terus ga ada history nya lagi mau di lacak kemana ga jelas";
11;Minta update mulu. tapi fitur metode pembayarannya ada yg msh bug biasanya bisa menggunakan saldo sebagian atau menggunakan Ovo points sebagian ini gak bisa pkease fix this bug Tokopedia!!!;
12;Mohon untuk batas proses lebih cepat untuk penjual. Karena sering kali penjual mengirimkan di hari berikutnya pengiriman dan tidak sesuai kesepakatan awal di hari yang sama.;
13;"selama pakai tokopedia sangat memuaskan dan keluhan, permasalan yg saya alami dapat di selesaikan dengan baik. pertahankan terus tokopedia dan tingkatkan lagi kelengakapan barangnya";
14;"saya selalu puas dengan layanan tokped, dengan adanya tokped memberi kemudahan bagi saya untuk mendapatkan barang yang saya butuhkan, tq tokped";
15;"Beli di tokped siang transaksi sudah dibayar lewat link, nunggu konfirmasi nah pas sekarang dicek ga ada transaksi transaksi sama sekali kemana hilangnya? Pengen komplain ga bisa kan ga ada transaksi nya padahal siang ada jadi gimana masa iya hangus uangnya";
16;"nyesel banget nyobain beli pulsa di tokped mubadzir. statusnya menunggu konfirmasi operator terus, disuruh nunggu 1x24 jam, emang pake jasa ekspedisi kirim pulsanya, gak bisa diandelin banget, ujung²nya beli ditempat lain yg lebih cepat.";
17;"hallo,... kepada tokopedia. trimakasih atas pelayanannya, untuk tampilan, dan beberapa fitur untuk update pada kali ini saya rasa sudah cukup baik, dan cukup memuaskan. namun, sy minta tolong terkait fitur cetak (print) yang ada pada invoice, itu tidak dapat digunakan atau tidak bekerja. saya berharap agar fitur itu segera diperbaiki, trimakasih????";
18;"sangat baik dan memuaskan,semakin senang belanja di Tokopedia, pelayanan nya cepat, barang berkwalitas, pengiriman cepat,sebagai pembeli saya merasa di hargai, semboyan "" Pembeli adalah raja"", diterapkan di Tokopedia. apabila ada pembatalan dari pembeli, uang cepat dikembalikan. tanpa ada tarik ulur, pada saat pengembalian uang. apabila ada promosi selalu diberikan sesuai dengan ketentuan yang ada. sulit bagi saya untuk berpaling dari Tokopedia,saya berharap pelayanan ditingkatkan terus.";
19;"Sangat membantu, paling tidak untuk membantu perbandingan harga, serta mempelajari quality barang yang diminati. Selain itu kita bisa piluh barang sesuai yang kita inginkan.";
20;proses pembelian barang bagus. sesuai dgn gambar yg di upload. tdk menipudgn kata kata yg menarik org utk membeli produk. uang aman;
21;kacau pesanan lewan grab gojek di batalkan.. padahal pesan hari jumat. pake yg 6 jam. sampe sekarang belum sampe.ga ada kepastian.. dari pihak toko sudah komplain janji jam 9 hari ini di kirim.sampe sekarang ga di gubris sama tokped nya. . . parah;
22;Tidak bisa buat komplain. Proses Upload Bukti dan keterangan ERROR! Saya suka Tokopedia YANG DULU. Yang sekarang banyak merugikan pembeli..;
23;"bagus sih gampang lagi,tapi kok pas mau pembayaran gak bisa sih?ada kesalahan apaan?cepat di perbaiki ya kak,soaonya sayang loh tokopedia udah bagus menurutku,sukses kedepannya ya kak di tunggu perbaikannya makasih^^ pliss perbaiki secepatnya kak";
24;Saya sangat senang.... Ini adalah pembelian online pertama dari saya dan saya merasa puas atas hasilnya... Awalnya saya ragu untuk pesan online tapi saya mencoba dan hasilnya sesuai yang diharapkan.... Pesan dari saya: Untuk mendapatkan hasil yang maksimal saya merekomendasi untuk memesan barang di toko resmi seperti Official Store..;
25;"Masih banyak kalau ingin promosi di aplikasi lain, jangan malah di tempat yang hanya akan menambah ke risihan konsumen, tolong tempat kan suatu tempat nya itu pada tempat yang tepat, jangan hanya menguntungkan sebelah pihak saja. Kalau di sini kan sama saja hanya untuk menguntungkan sebelah pihak saja, sedangkan pengguna ponsel merasa terganggu dengan sangat amat, di karna kan pengguna ponsel di saat ingin melakukan pengunduhan, tapi malah di lempar kan ke aplikasi yang lain.";
26;"selama saya menggunakan toped baik2 saja gak da kendala. lbh baik konsumen pintar dlm mmbeli. pilih2 jgn semua barang di beli online. cth: hp, klo mau aman mending beli hp di outlet khsus spy klo ada kendala bs lsg di tangani. tp apakah semua konsumen pintar sprt itu?, repot sdikit tp aman dari pada praktis tp tragis";
27;"mohon bantuannya, kenapa saya tidak bisa memilih saat di halaman metode pembayaran lainnya, halamanny terus refresh di tempat yg sama";
28;Tokopedia tolong segera di proses mengenai pembelian gift card saya yang kode sudah terpakai sudah 1 minggu lebih belum ada hasil saya inbox juga tdk dbalas;
29;"Tidak apa apa saya kasih bintang 5 aja, tapi tolong apa yg sudah baik tetaplah baik dan mudah""an menjadi lebih baik lagi. Utk memberi semangat kepada pengguna Applikasi Tokopedia, tolong Chashback Voucher utk tagihan Produk digitalnya seperti : PLN, TOKEN PLN, BPJS, PDAM dan lain sebagainya. Seperti contoh: TOPED, OVOTOPED, DGTOPED, GAJIANSERU, BAYARTERUS dan lain sebagainya. Tolong semuanya jangan sampai dihilangkan atau ditiadakan. Karna hal ini utk menjaga pindah ke lain hati, mohon tetap ada";
30;saya sudah uninstall tokopedia.pengembalian dana belanja memakan waktu 3 bulan lamanya.kalo proses pengiriman gagal jangan automatis lakukan pembayaran ke penjual.;
31;"saya sudah lama mengguanakan aplikasi tokopedia tetapi entah kenapa akhir"" ada sedikit gejala disaat melakukan transaksi pembayaran. disaat saya ingin melakukan pembayaran menggunakan cara lain kenapa tidak bisa ya? sudah saya coba dari tanggal 26 tidak mau. tolong ini di perbaiki";
32;awalny good bgt tokped sangat membantu... tp akhir2 ini sya mau selesaikan pembayaran tidak merespon...dan selalu gagal... lalu sya coba pusat bantuan hasil sama sya klik pusat permasalahan juga tdk bisa... tolong di perbaiki...terima kasih...;
33;"mana ini rincian transaksi tidak ada barang favorit hilang catatan transaksi ga ada ga bisa lihat barang yang sudah di bayar tapi di keranjang udah hilang mohon di bantu ribet kalo harus cek di web, buat apa dong aplikasi ini";
34;"Kekurangan sebelumnya Loadingnya Lama, Loading sangat Gambar lama ! Bagi Toko, harap cepat-cepat Prosesnya, karna Tujuan Belanja Oline adalah Memudahkan, Praktis dan Mempercepat Proses Belanja !";
35;"okopedia kini tidak memihak kepada UKM Macam anak kost , semakin tidak bersahabat . Krna fitur promo perJam nya telah hilang . Sangat kecewa dengan perubahanNya . Pengen tau siapa si yang bikin usul Fitur Promo gratis perJam nya di hilangkan . Semoga itu manusia Rezeki nya sama kayak Anak kost";
36;per 1 juli update ini. sangat merugikan kita sebagai penjual. produk yg dijual akan dipotong 1%. jika sy jual grosiran 100juta maka akan dipotong 1jt (1%) nya. untg kita sbgai penjual ud tipis makin tipis. keenakan tokop*dianya# kecewa.;
37;"Tokopedia MATRE. Jualan di Tokopedia sekarang bikin rugi. Sekarang minimal biaya topads per klik Rp. 350. Padahal saya biasa pakai Rp.100 per klik. Yang bener saja. Untung cuma beberapa puluh ribu perhari, sekarang biaya iklannya jadi ratusan ribu rupiah perhari. Bukannya untung malah buntung. Mending gak usah jualan di Tokopedia lagi.";
38;"balik lagi kayak dlu ya setelah diupdate, pembelian pakai OVO langsung klik tanpa konfirmasi di OVO. buat saya ngeri aja kalau pas yang pakai aplikasi orang lain";
39;"ita coba...bagus... bintang full (update)ok...keluhan sudah dikirim,respon pihak tokopedia cepat,jadi bintang sata kasih full,yah walau kendalanya sedikit aneh";
40;"kemarin saya melakukan pembelian tiket pesawat pulang pergi dari bandung ke pekanbaru, biarpun saya sudah mengirim uang pembayaran, pembelian tiket tersebut gagal dan uang yang saya kirim tidak dikembalikan, lalu saat saya cek di daftar transaksi tiket pesawat yang gagal, transaksi tersebut tidak ada, dan setelah saya melaporkan ke cs sampai sekarang masih belum ada balasan";
41;"makasih tokopedia memudahkan saya berbelanja produk dan toko terpercaya dan jujur semoga tambah sukses dan jaya trs,,makasih juga hadiah nya susu ultra wktu bln ramadhan";
42;Menghadapi custamer atau pelanggan dengan beragam karakteristik dan target menjadi tantangan terbesar keseharian saya. Tanggung jawab saya meliputi: membantu dan mencari barang yang sesuai dengan permintaan pelanggan. Tanggung jawab kedua mencakup menerima komplain atau keluhan dari pelanggan atas pelayanan yang saya berikan.;
43;kenapa lama sekali verifikasi pembayaran via transfer bank? bahkan saya sudah sertakan bukti transaksi juga tidak kunjung diverifikasi. menyebabkan keterlambatan ini namanya! kecewa dengan Toped yang sekarang;
44;aplikasi terbaru sangat buruk. sering eror. lambat. ga di aplikasi ga di browser sama aja. proses transaksi jadi lama sekali;
45;aplikasi ini sangat bagus untuk saya yg gak sempat ke toko untuk mencari barang yg saya butuh kan;
46;jualan di tokopedia skarang slalu boncos atau rugi melulu. saran saya biaya per klik di tokopedia harus dinaikkan lagi menjadi Rp50.000/ klik nya agar usaha tokopedia makin sukses tapi seller semakin bangkrut ya. *** semoga semakin sukses buat tokopedia*;
47;"Aplikasi online paling terpercaya! paling aman, mudah, praktis puas sekali deh pake tokopedia. Tapi mohon diperbaiki dimana tidak bisa menggunakan kupon (padahal sudah memenuhi syarat) ??";
48;plikasi jancukk... Ngadain promo tapi ga bisa ga bisa di gunakan promonya.. Casbeck di batalkan spihak.. Akun di diskulifikasi sepihak.. Alasnya semau lih aja... Klo ada promo ga bisa ikut promo... Mending blnja di shopi aja.. Udah jelas2 gratis ongkir.... Sialan lohhh;
49;Improvisasi aplikasi sudah bagus. Namun sangat disayangkan Call Center tidak tersedia. Padahal itu hal yang penting untuk menanggapi keluhan pelanggan dengan cepat. Sekarang hanya ada fitur live chat dan pelayanannya sangat lambat. Jauh di bawah kualitas pelayanannya dibanding Bukalapak;
50;"Paket terakhir sudah sampai, bertanda berakhir juga saya mengunakan Tokopedia,setelah sekian lama berlanganan,""Pedagang adalah raja di sini""";
51;"KECEWA BANGET SAMA TOKOPEDIA TIDAK BISA MENGUBAH METODE PEMBAYARAN..!!! KALAH SAMA SHOPEE,SHOPEE BISA MENGUBAH METODE PEMBAYARAN DAN CARA NYA GAMPANG BANGET...!! SAYA HARAP DARI PIHAK TOKOPEDIA UNTUK MENGUPDATE LEBIH BAGUS LAGI,DAN KALO BISA MENGUBAH METODE PEMBAYARAN AGAR WARGA INDONESIA BISA LEBIH MUDAH...!! MAKASIH";
52;"semakin asyik berbelanja, cukup via aplikasi..hemat waktu dan banyak pilihan...saat kita menginginkan satu barang, tetapi tidak bisa meninggalkan pekerjaan cukup dengan aplikasi Tokopedia kita dapat terbantu, selesai pekerjaan dan barang yg kita inginkan akhirnya dapat kita miliki. Disamping kita menginginkan sesuatu barang kita juga dapat menginformasikan apa yg kita akan jual ke konsumen...nah timbal balik ini merupakan Tokopedia menjadi perdagangan yang asyik dan bermanfaat buat semua orang..";
