text,label
"Kenapa pembayaran manual transfer rekening bank BRI tidakada lagi. Saya sudah 2 kali pesan barang lewat aplikasi ini baik2 saja tidakada masalah dan saya biasa bayar lewat transfer manual rekening Bank BRI. Mohon untuk penjelasannya karena saya mau pesan barang lagi, tapi tidakada lagi pembayaran manual transfer rekening bank BRI. Terima Kasih.",positive
"Luar biasa, situs online paling praktis, canggih, sama sekali tidakribet. Mudah dan cepat akses serta pengoperasiannya. Saya sangat merekomendasikan Tokopedia untuk Anda. Pokoknya mantap deh! USUL: kalau bisa sistem pembayaran dengan Oneklik BCA juga disediakan oleh Tokopedia. Terima kasih.",positive
"awalnya saya was was blanja online tuh suka lama sampe nya ampe seminggu pernah saya bli barang lewat online.dan saya sudah ikhlasin apapun yg trjdi mungkin bkn rezki saya, stelah seminggu lebih baru sampe tu barang .saya coba pake aplikasi tokopedia ini dan saya coba blanja kmbli ternyata respon cepat dan prosesnya tidaklemot bagi saya tokopedia saya kasih klo boleh saya tambah bintangnya nggk 5 lg karna saya sangat puas dengan playanannya proses cepat barang sesuai pesanan ok dah pokonya 👍👍",positive
"alhamdulillah cukup puas sih untuk sebelomnya dengan aplikasi ini....bayar ini itu casback beneran dapet!!!....tp makin kesini kok gak ada lagi ya? dan poin dari belanja kok gak bisa tukar ke pulsa atau token kan bermanfaat....kayak di greb bisa tukar token listrik poin"" nya",positive
"Mau login dipersulit, harus verifikasi nomer tlp. No tlp udah ga aktif harus foto ktp/buku tabungan, masalahnya gw ga ada ktp/buku tabungan itu. Daftar akun pake Google or yahoo ttp aja harus verifikasi no tlp juga, punya akun fb Gmail ymail ga ada yg bisa buat login",negative
"saya kecewa sekarang sama kamu toped tiap transaksi tidakdapat casback apa kesalahan dan syarat yang kurang dari saya ,,sudah lama nunggu barang datang pas datang saya komfir casback tidakmasuk ,,kalau sudah selesai transaksi saya smua dan saya tidakakan gunakan amplikasi ini lagi saya hapus percuma casback tipu",negative
"terkecoh sama cashback yg besar, jangan pernah beli flight di tokped. RUMIT SANGAT RUMIT, mau merubah flight rumit , anda akan di teror email setiap detik jika anda tdk segera merubah tiket anda.. lalu anda akan dipersulit. pokokny jgn prnh beli flight di tokped klo gk mw nyesel.",negative
"kenapa habis diperbarui gangguan terus, mau pilih pembayaran selalu gangguan. apakah harus di uninstal aja, 20x transaksi nyaman kini jadi menyakitkan. biar bintang yg berbicara",negative
"terimakasih, atas respon dan kecepatan dalam proses sampai pengiriman, barang diterima tepat waktu dan kondisi bagus...👍👍👍",positive
"Jelek banget ga jelas keterangannya ,,sy belanja pake ovo ,,,dan sisa nya pake kredivo ,,tapi ovo sy sudah di potong saldonya ,,tapi keterangan dari kredivo beda akun ...jadi lieur padahal sy cuman satu akun..terus ga ada history nya lagi mau di lacak kemana ga jelas",negative
Minta update mulu. tapi fitur metode pembayarannya ada yg msh bug biasanya bisa menggunakan saldo sebagian atau menggunakan Ovo points sebagian ini gak bisa pkease fix this bug tokped!!!,negative
Mohon untuk batas proses lebih cepat untuk penjual. Karena sering kali penjual mengirimkan di hari berikutnya pengiriman dan tidaksesuai kesepakatan awal di hari yang sama.,negative
